"","LineNumber1","X","SatelliteNumber1","Classification","X.1","ID1","ID2","ID3","X.2","EpochYear","EpochDay","X.3","FirstTimeDerivative","X.4","SecondTimeDerivative","X.5","BSTAR","X.6","Ephemeris","X.7","ElementSetNumber","Checksum1","LineNumber2","X.8","SatelliteNumber2","X.9","Inclination","X.10","RightAscension","X.11","Eccentricity","X.12","Perigee","X.13","MeanAnomaly","X.14","MeanMotion","Revolution","Checksum2","satname","altitude","mark"
"1",1,NA,5,"U",NA,58,2,"B  ",NA,19,93.48463983,NA,-7.1e-07,NA,"+00000-0",NA,"-96052-4",NA,0,NA,999,3,2,NA,5,NA,34.2431,NA,146.4799,NA,1844402,NA,168.1908,NA,196.8797,NA,10.84771135,15736,6,"VANGUARD 1",2248.87374669298,NA
"2",1,NA,11,"U",NA,59,1,"A  ",NA,19,93.71607023,NA,8.4e-07,NA," 00000-0",NA," 26642-4",NA,0,NA,999,1,2,NA,11,NA,32.8776,NA,270.0199,NA,1468875,NA,283.5393,NA,60.6173,NA,11.85622648,56439,0,"VANGUARD 2",1752.85183453654,NA
"3",1,NA,12,"U",NA,59,1,"B  ",NA,19,93.45736165,NA,1.39e-06,NA," 00000-0",NA," 63083-4",NA,0,NA,999,4,2,NA,12,NA,32.9099,NA,93.8247,NA,1664971,NA,277.4985,NA,64.0282,NA,11.44234207,47202,1,"VANGUARD R/B",1947.58963342358,NA
"4",1,NA,16,"U",NA,58,2,"A  ",NA,19,93.0454256,NA,8.2e-07,NA,"+00000-0",NA,"+10458-3",NA,0,NA,999,1,2,NA,16,NA,34.2677,NA,349.2194,NA,2026457,NA,176.5473,NA,185.1765,NA,10.48740895,41249,8,"VANGUARD R/B",2445.18813935361,NA
"5",1,NA,20,"U",NA,59,7,"A  ",NA,19,93.98574015,NA,2.74e-06,NA," 00000-0",NA," 12026-3",NA,0,NA,999,1,2,NA,20,NA,33.343,NA,311.1713,NA,1665250,NA,90.2999,NA,288.7639,NA,11.55609245,17967,1,"VANGUARD 3",1892.91129360383,NA
"6",1,NA,22,"U",NA,59,9,"A  ",NA,19,94.87343282,NA,3.61e-06,NA," 00000-0",NA," 50374-4",NA,0,NA,999,0,2,NA,22,NA,50.2855,NA,4.07,NA,140508,NA,19.6256,NA,341.0025,NA,14.94812438,15956,4,"EXPLORER 7",589.950036711121,NA
"7",1,NA,29,"U",NA,60,2,"B  ",NA,19,94.34897178,NA,-1.17e-06,NA," 00000-0",NA," 13577-4",NA,0,NA,999,6,2,NA,29,NA,48.3792,NA,225.5082,NA,23928,NA,150.82,NA,209.4054,NA,14.74295787,15372,6,"TIROS 1",654.381328314489,NA
"8",1,NA,45,"U",NA,60,7,"A  ",NA,19,94.73813584,NA,-5.8e-07,NA," 00000-0",NA," 12680-4",NA,0,NA,999,9,2,NA,45,NA,66.6928,NA,99.6353,NA,263142,NA,275.5973,NA,81.5174,NA,14.3363217,5967,2,"TRANSIT 2A",786.606629864846,NA
"9",1,NA,46,"U",NA,60,7,"B  ",NA,19,94.4519154,NA,-1.3e-07,NA," 00000-0",NA," 20598-4",NA,0,NA,999,8,2,NA,46,NA,66.69,NA,155.3449,NA,202614,NA,99.4386,NA,262.9687,NA,14.49214753,7534,3,"SOLRAD 1 (GREB)",735.206455007237,NA
"10",1,NA,47,"U",NA,60,7,"C  ",NA,19,94.50350439,NA,-5.6e-07,NA," 00000-0",NA," 12785-4",NA,0,NA,999,5,2,NA,47,NA,66.6647,NA,251.3139,NA,235409,NA,265.3338,NA,92.0847,NA,14.42025858,7168,6,"THOR ABLESTAR R/B",758.804469075885,NA
