"","X.15","LineNumber1","X","SatelliteNumber1","Classification","X.1","ID1","ID2","ID3","X.2","EpochYear","EpochDay","X.3","FirstTimeDerivative","X.4","SecondTimeDerivative","X.5","BSTAR","X.6","Ephemeris","X.7","ElementSetNumber","Checksum1","LineNumber2","X.8","SatelliteNumber2","X.9","Inclination","X.10","RightAscension","X.11","Eccentricity","X.12","Perigee","X.13","MeanAnomaly","X.14","MeanMotion","Revolution","Checksum2","satname","altitude","mark"
"1",16818,1,NA,43467,"U",NA,98,67,"NQ ",NA,19,94.10909,NA,0.00013238,NA," 00000-0",NA," 16054-3",NA,0,NA,999,0,2,NA,43467,NA,51.6392,NA,359.5366,NA,3323,NA,134.4599,NA,225.6667,NA,15.60976,5106,4,"1KUNS-PF",391.8347,"0"
"2",15406,1,NA,41732,"U",NA,16,51,"B  ",NA,19,94.74339,NA,1.02e-05,NA," 00000-0",NA," 41441-4",NA,0,NA,999,8,2,NA,41732,NA,97.3752,NA,12.817,NA,14732,NA,110.8273,NA,301.4643,NA,15.26699,14665,0,"3CAT-2",492.6849,"0"
"3",357,1,NA,1778,"U",NA,65,96,"A  ",NA,19,94.06930477,NA,5.3e-07,NA," 00000-0",NA," 20044-4",NA,0,NA,999,0,2,NA,1778,NA,34.2568,NA,327.0072,NA,751080,NA,24.451,NA,338.9935,NA,13.46894816,60922,0,"A-1 (ASTERIX)",1090.689922,"0"
"4",16238,1,NA,42775,"U",NA,17,36,"L  ",NA,19,94.67724,NA,8.56e-06,NA," 00000-0",NA," 41340-4",NA,0,NA,999,1,2,NA,42775,NA,97.3586,NA,153.1809,NA,15587,NA,120.4325,NA,239.8453,NA,15.21201,9880,6,"AALTO 1",509.2123,"0"
"5",9286,1,NA,31136,"U",NA,7,13,"B  ",NA,19,93.43074,NA,5.37e-05,NA," 00000-0",NA," 79468-4",NA,0,NA,999,5,2,NA,31136,NA,2.5049,NA,194.718,NA,5054,NA,211.5097,NA,148.4656,NA,15.4607,66598,1,"AAM/PSLV",435.2327,"0"
"6",7500,1,NA,27846,"U",NA,3,31,"G  ",NA,19,93.95759,NA,2.9e-07,NA,"0",NA,"32779",NA,0,NA,999,6,2,NA,27846,NA,98.6843,NA,101.8039,NA,8546,NA,218.4653,NA,141.5917,NA,14.22209,81752,4,"AAU CUBESAT",824.8809,"0"
"7",15227,1,NA,41460,"U",NA,16,25,"E  ",NA,19,94.82461,NA,2.16e-05,NA," 00000-0",NA," 11286-3",NA,0,NA,999,6,2,NA,41460,NA,98.1003,NA,178.6469,NA,157827,NA,242.9171,NA,115.5879,NA,15.06961,16139,0,"AAUSAT 4",552.4893,"0"
"8",10273,1,NA,32788,"U",NA,8,21,"F  ",NA,19,94.00146,NA,7.92e-06,NA," 00000-0",NA," 77993-4",NA,0,NA,999,6,2,NA,32788,NA,97.5021,NA,113.0644,NA,13562,NA,94.1331,NA,266.144,NA,14.94646,59361,8,"AAUSAT CUBESAT 2",590.4677,"0"
"9",13572,1,NA,39087,"U",NA,13,9,"B  ",NA,19,94.77282,NA,7.3e-07,NA," 00000-0",NA," 40334-4",NA,0,NA,999,9,2,NA,39087,NA,98.4955,NA,302.2966,NA,12994,NA,145.9536,NA,214.2489,NA,14.35707,31972,3,"AAUSAT3",779.7085,"0"
"10",6112,1,NA,23768,"U",NA,96,3,"A  ",NA,19,93.65945,NA,-4.6e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,2,2,NA,23768,NA,9.1159,NA,42.4832,NA,4952,NA,331.1412,NA,236.0289,NA,0.9980244,8494,6,"ABS 1A (KOREASAT 2)",35924.96,"0"
"11",13833,1,NA,39508,"U",NA,14,6,"A  ",NA,19,94.73981,NA,-9.3e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,3,2,NA,39508,NA,0.0414,NA,59.5198,NA,2944,NA,326.9662,NA,147.5094,NA,1.002724,1894,6,"ABS 2",35792.69,"0"
"12",15309,1,NA,41588,"U",NA,16,38,"A  ",NA,19,94.45256,NA,-9.1e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,1,2,NA,41588,NA,0.0247,NA,194.4217,NA,1980,NA,109.7553,NA,125.9271,NA,1.002709,1032,9,"ABS 2A",35793.13,"0"
"13",6301,1,NA,24901,"U",NA,97,42,"A  ",NA,19,94.65624,NA,-6.5e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,8,2,NA,24901,NA,6.0841,NA,59.8715,NA,5383,NA,258.4561,NA,126.7242,NA,0.9926214,7910,8,"ABS 3 (AGILA 2)",36078.3,"0"
"14",14447,1,NA,40424,"U",NA,15,10,"A  ",NA,19,94.79607,NA,-3.3e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,0,2,NA,40424,NA,0.0104,NA,138.2053,NA,1863,NA,170.1876,NA,168.0186,NA,1.002723,1503,2,"ABS 3A",35792.73,"0"
"15",6678,1,NA,25924,"U",NA,99,53,"A  ",NA,19,94.82835,NA,-1.26e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,5,2,NA,25924,NA,0.0353,NA,79.3008,NA,2289,NA,284.9184,NA,285.8591,NA,1.002703,7149,3,"ABS 6 (LMI 1)",35793.29,"0"
"16",6666,1,NA,25894,"U",NA,99,46,"A  ",NA,19,94.07202,NA,-3.7e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,2,2,NA,25894,NA,0.0817,NA,97.0622,NA,2216,NA,279.0471,NA,318.0213,NA,1.002751,7075,4,"ABS 7 (KOREASAT 3)",35791.95,"0"
"17",6751,1,NA,26033,"U",NA,99,70,"B  ",NA,19,94.86317,NA,2.4e-07,NA," 00000-0",NA," 14006-4",NA,0,NA,999,7,2,NA,26033,NA,98.023,NA,224.2122,NA,29241,NA,78.9304,NA,281.5184,NA,14.62274,2822,0,"ACRIMSAT",692.8328,"0"
"18",5759,1,NA,22796,"U",NA,93,58,"B  ",NA,19,94.36668,NA,-1.06e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,5,2,NA,22796,NA,14.4207,NA,17.0376,NA,36989,NA,11.711,NA,189.7412,NA,1.002734,10051,0,"ACTS",35792.43,"0"
"19",6183,1,NA,24277,"U",NA,96,46,"A  ",NA,19,93.90188,NA,-2.8e-07,NA," 00000-0",NA," 67665-5",NA,0,NA,999,9,2,NA,24277,NA,98.8151,NA,57.7236,NA,986,NA,153.4875,NA,206.6357,NA,14.29433,17989,3,"ADEOS",800.6187,"0"
"20",7356,1,NA,27597,"U",NA,2,56,"A  ",NA,19,94.47103,NA,1.2e-07,NA," 00000-0",NA," 22311-4",NA,0,NA,999,5,2,NA,27597,NA,98.4644,NA,49.5948,NA,1169,NA,133.2498,NA,226.8781,NA,14.27391,84904,4,"ADEOS 2",807.4547,"0"
"21",12267,1,NA,36868,"U",NA,10,39,"A  ",NA,19,94.79747,NA,2.3e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,6,2,NA,36868,NA,1.7263,NA,107.6713,NA,3699,NA,267.2742,NA,108.9753,NA,1.002753,3206,0,"AEHF 1 (USA 214)",35791.89,"0"
"22",13073,1,NA,38254,"U",NA,12,19,"A  ",NA,19,94.496,NA,-2.8e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,0,2,NA,38254,NA,1.5396,NA,24.4997,NA,4531,NA,359.5861,NA,279.4668,NA,1.002704,2529,7,"AEHF 2 (USA 235)",35793.27,"0"
"23",13689,1,NA,39256,"U",NA,13,50,"A  ",NA,19,94.86867,NA,-1.91e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,3,2,NA,39256,NA,1.287,NA,311.5867,NA,7122,NA,51.8873,NA,294.3532,NA,1.002719,2031,5,"AEHF 3 (USA 246)",35792.85,"0"
"24",16967,1,NA,43651,"U",NA,18,79,"A  ",NA,19,94.0662,NA,-1.75e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,3,2,NA,43651,NA,4.7455,NA,311.9754,NA,4013,NA,52.413,NA,117.4074,NA,1.002732,190,8,"AEHF 4 (USA 288)",35792.47,"0"
"25",16919,1,NA,43600,"U",NA,18,66,"A  ",NA,19,94.55688,NA,-1.39e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,4,2,NA,43600,NA,96.7224,NA,102.4867,NA,7281,NA,135.9646,NA,224.1748,NA,15.86998,3561,9,"AEOLUS",317.7059,"0"
"26",17160,1,NA,43861,"U",NA,18,104,"N  ",NA,19,94.10421,NA,4.1e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,1,2,NA,43861,NA,85.0402,NA,106.604,NA,14630,NA,244.3505,NA,115.6475,NA,15.21304,1653,9,"AEROCUBE 11-EAGLESCOUT",508.9023,"0"
"27",17148,1,NA,43849,"U",NA,18,104,"A  ",NA,19,94.09424,NA,8.26e-06,NA," 00000-0",NA," 34886-4",NA,0,NA,999,0,2,NA,43849,NA,85.0332,NA,106.4712,NA,15350,NA,246.54,NA,113.4239,NA,15.21453,1655,5,"AEROCUBE 11-R3",508.4528,"0"
"28",16881,1,NA,43556,"U",NA,18,46,"C  ",NA,19,94.20664,NA,9.91e-06,NA," 00000-0",NA," 47978-4",NA,0,NA,999,3,2,NA,43556,NA,51.6431,NA,58.6803,NA,8528,NA,156.0684,NA,204.0694,NA,15.28456,4001,3,"AEROCUBE 12A",487.4252,"0"
"29",16882,1,NA,43557,"U",NA,18,46,"D  ",NA,19,94.14911,NA,7.79e-06,NA," 00000-0",NA," 40519-4",NA,0,NA,999,2,2,NA,43557,NA,51.6436,NA,59.0435,NA,8534,NA,156.0261,NA,204.1118,NA,15.28361,3995,0,"AEROCUBE 12B",487.709,"0"
"30",9284,1,NA,31133,"U",NA,7,12,"R  ",NA,19,94.28727,NA,8.1e-07,NA," 00000-0",NA," 26752-4",NA,0,NA,999,4,2,NA,31133,NA,98.1166,NA,41.9401,NA,79329,NA,249.1555,NA,110.1137,NA,14.59085,63610,4,"AEROCUBE 2",703.1215,"0"
"31",14193,1,NA,40045,"U",NA,14,33,"AM ",NA,19,93.87727,NA,2.4e-06,NA,"0",NA,"41922",NA,0,NA,999,4,2,NA,40045,NA,97.7904,NA,328.3385,NA,57610,NA,336.1732,NA,23.6812,NA,14.7534,25714,0,"AEROCUBE 6A",651.0669,"0"
"32",14194,1,NA,40046,"U",NA,14,33,"AN ",NA,19,94.22057,NA,2.49e-06,NA," 00000-0",NA," 43255-4",NA,0,NA,999,4,2,NA,40046,NA,97.7847,NA,328.3548,NA,56639,NA,334.3053,NA,25.5345,NA,14.7532,25757,6,"AEROCUBE 6B",651.128,"0"
"33",16465,1,NA,43042,"U",NA,17,71,"F  ",NA,19,94.85927,NA,4.38e-05,NA," 00000-0",NA," 11543-3",NA,0,NA,999,7,2,NA,43042,NA,51.6385,NA,58.6431,NA,3832,NA,239.8372,NA,120.2234,NA,15.40637,7454,5,"AEROCUBE 7B",451.2275,"0"
"34",16466,1,NA,43043,"U",NA,17,71,"G  ",NA,19,94.47035,NA,3.8e-05,NA," 00000-0",NA," 10148-3",NA,0,NA,999,3,2,NA,43043,NA,51.6385,NA,60.5591,NA,4158,NA,243.4625,NA,116.5934,NA,15.40675,7445,0,"AEROCUBE 7C",451.1152,"0"
