"","X.15","LineNumber1","X","SatelliteNumber1","Classification","X.1","ID1","ID2","ID3","X.2","EpochYear","EpochDay","X.3","FirstTimeDerivative","X.4","SecondTimeDerivative","X.5","BSTAR","X.6","Ephemeris","X.7","ElementSetNumber","Checksum1","LineNumber2","X.8","SatelliteNumber2","X.9","Inclination","X.10","RightAscension","X.11","Eccentricity","X.12","Perigee","X.13","MeanAnomaly","X.14","MeanMotion","Revolution","Checksum2","satname","altitude","mark"
"141",7062,1,NA,26720,"U",NA,1,11,"B  ",NA,19,94.692,NA,-4.6e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,1,2,NA,26720,NA,5.2489,NA,65.4274,NA,3668,NA,246.8009,NA,325.1211,NA,0.9917954,6587,9,"BSAT-2A",36101.87,1
"1020",13135,1,NA,38340,"U",NA,12,25,"D  ",NA,19,94.04083,NA,1.48e-06,NA," 00000-0",NA," 29714-4",NA,0,NA,999,0,2,NA,38340,NA,98.3381,NA,130.3259,NA,11592,NA,12.1501,NA,347.9984,NA,14.75686,37000,9,"HORYU 2",649.968,1
"1078",11688,1,NA,35755,"U",NA,9,44,"A  ",NA,19,94.83027,NA,-3.7e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,5,2,NA,35755,NA,0.0283,NA,249.8191,NA,2127,NA,158.4581,NA,252.3642,NA,1.002737,3528,9,"JCSAT 12",35792.34,1
"2776",14366,1,NA,40299,"U",NA,14,70,"B  ",NA,19,94.83375,NA,4.81e-06,NA," 00000-0",NA," 23214-4",NA,0,NA,999,2,2,NA,40299,NA,97.3519,NA,176.1351,NA,11367,NA,311.1869,NA,171.6792,NA,15.23266,24487,8,"HODOYOSHI 1",502.9951,1
"2786",6245,1,NA,24732,"U",NA,97,7,"A  ",NA,19,94.45011,NA,1.7e-07,NA," 00000-0",NA," 00000+0",NA,0,NA,999,6,2,NA,24732,NA,8.4232,NA,45.6352,NA,5525,NA,352.4858,NA,18.5866,NA,1.002744,8090,8,"INTELSAT 26 (JCSAT 4)",35792.13,1
"3656",6258,1,NA,24769,"U",NA,97,16,"B  ",NA,19,94.35119,NA,-1.25e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,4,2,NA,24769,NA,6.2313,NA,56.6001,NA,6555,NA,267.589,NA,281.1856,NA,0.9911927,8011,7,"BSAT-1A",36119.08,1
"4595",15521,1,NA,41903,"U",NA,16,82,"A  ",NA,19,94.07202,NA,-3.59e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,7,2,NA,41903,NA,0.0138,NA,244.6313,NA,1156,NA,136.0862,NA,307.3671,NA,1.002729,839,7,"JCSAT 15",35792.56,1
"4596",7972,1,NA,29045,"U",NA,6,10,"A  ",NA,19,94.82294,NA,-3.34e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,8,2,NA,29045,NA,0.0405,NA,113.0033,NA,1670,NA,257.3363,NA,250.7958,NA,1.002739,4756,7,"JCSAT 9",35792.28,1
"6468",13128,1,NA,38331,"U",NA,12,23,"A  ",NA,19,94.8793,NA,-3.62e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,5,2,NA,38331,NA,0.0214,NA,248.2445,NA,2287,NA,168.1975,NA,217.0013,NA,1.002716,2519,6,"JCSAT 13",35792.93,1
"6469",15235,1,NA,41471,"U",NA,16,28,"A  ",NA,19,94.82731,NA,-1.72e-06,NA," 00000-0",NA," 00000+0",NA,0,NA,999,8,2,NA,41471,NA,0.0092,NA,214.5434,NA,1847,NA,157.0527,NA,273.0706,NA,1.002709,1071,6,"JCSAT 2B",35793.13,1
