CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"62362814","2020-12-08 10:55:57.000000","Y","2020-12-11T10:42:00.720000","412","0.0001258093","45","TRANSIT 2A","PAYLOAD","MEDIUM","5.00","36719","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62363107","2020-12-08 10:55:55.000000","Y","2020-12-09T02:39:31.126000","160","0.0001520869","9903","METEOR 1-27","PAYLOAD","LARGE","5.00","40999","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62363128","2020-12-08 10:55:53.000000","Y","2020-12-09T18:16:18.903000","32","0.002036151","10875","DELTA 1 DEB","DEBRIS","SMALL","1.00","3346","DELTA 1 R/B","ROCKET BODY","LARGE","3.00"
"62363642","2020-12-08 10:52:28.000000","Y","2020-12-10T14:41:26.768000","3116","","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00"
"62363855","2020-12-08 10:55:53.000000","Y","2020-12-08T17:40:35.889000","50","0.002057402","22438","SL-16 DEB","DEBRIS","SMALL","1.00","28221","NAXING 1","PAYLOAD","MEDIUM","5.00"
"62364191","2020-12-08 10:55:58.000000","Y","2020-12-10T06:47:06.357000","460","0.0006258683","24842","IRIDIUM 911","PAYLOAD","LARGE","5.00","37452","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62364556","2020-12-08 10:52:28.000000","Y","2020-12-10T14:41:26.768000","3116","","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00"
"62364692","2020-12-08 10:55:53.000000","Y","2020-12-08T17:40:35.889000","50","0.002057402","28221","NAXING 1","PAYLOAD","MEDIUM","5.00","22438","SL-16 DEB","DEBRIS","SMALL","1.00"
"62409446","2020-12-08 17:59:15.000000","Y","2020-12-11T10:42:00.708000","318","0.0001426954","45","TRANSIT 2A","PAYLOAD","MEDIUM","5.00","36719","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62409749","2020-12-08 17:59:10.000000","Y","2020-12-09T02:39:31.126000","166","0.0001366482","9903","METEOR 1-27","PAYLOAD","LARGE","5.00","40999","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62410326","2020-12-08 18:13:33.000000","Y","2020-12-10T14:41:26.768000","3116","","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00"
"62410540","2020-12-08 17:59:37.000000","Y","2020-12-11T15:49:07.618000","691","0.001119843","22236","COSMOS 2221","PAYLOAD","LARGE","5.00","6396","SL-8 DEB","DEBRIS","SMALL","1.00"
"62410951","2020-12-08 17:59:12.000000","Y","2020-12-10T06:47:06.384000","232","0.0006872403","24842","IRIDIUM 911","PAYLOAD","LARGE","5.00","37452","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62411358","2020-12-08 18:13:33.000000","Y","2020-12-10T14:41:26.768000","3116","","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00"
"62411711","2020-12-08 17:59:08.000000","Y","2020-12-10T11:13:28.651000","107","0.0003490607","29194","COSMOS 860 COOLANT","DEBRIS","SMALL","1.00","31003","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62411824","2020-12-08 17:59:08.000000","Y","2020-12-10T11:13:28.651000","107","0.0003490607","31003","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","29194","COSMOS 860 COOLANT","DEBRIS","SMALL","1.00"
"62464802","2020-12-09 01:20:36.000000","Y","2020-12-10T14:41:26.768000","3116","","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00"
"62465575","2020-12-09 01:20:36.000000","Y","2020-12-10T14:41:26.768000","3116","","27504","SL-12 R/B(2)","ROCKET BODY","LARGE","0.00","19550","IUS R/B(2)","ROCKET BODY","LARGE","0.00"
"62468886","2020-12-08 23:10:49.000000","Y","2020-12-11T10:42:00.717000","387","0.0001360817","45","TRANSIT 2A","PAYLOAD","MEDIUM","5.00","36719","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62469021","2020-12-08 23:10:47.000000","Y","2020-12-09T02:39:31.126000","164","0.0001407533","9903","METEOR 1-27","PAYLOAD","LARGE","5.00","40999","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62469331","2020-12-08 23:10:45.000000","Y","2020-12-10T06:47:06.404000","87","0.0009311301","24842","IRIDIUM 911","PAYLOAD","LARGE","5.00","37452","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62469526","2020-12-08 23:10:48.000000","Y","2020-12-11T20:45:44.485000","315","0.0004041688","27561","RUBIN 3/SL-8","PAYLOAD","LARGE","5.00","40792","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"62531129","2020-12-09 10:25:09.000000","Y","2020-12-11T10:42:00.717000","384","0.0001388369","45","TRANSIT 2A","PAYLOAD","MEDIUM","5.00","36719","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62531359","2020-12-09 10:26:23.000000","Y","2020-12-11T01:26:08.796000","480","0.0001052822","7003","AUREOLE 2","PAYLOAD","LARGE","5.00","82481","UNKNOWN","UNKNOWN","","3.00"
"62531417","2020-12-09 10:24:59.000000","Y","2020-12-10T06:14:49.909000","16","0.001502182","9710","DELTA 1 DEB","DEBRIS","SMALL","1.00","32217","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62531464","2020-12-09 10:24:58.000000","Y","2020-12-12T07:02:38.128000","295","0.0001571147","11765","COSMOS 1174","PAYLOAD","LARGE","5.00","32089","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"62531525","2020-12-09 10:25:16.000000","Y","2020-12-12T01:38:01.982000","578","0.0002211823","13381","COSMOS 1394","PAYLOAD","MEDIUM","5.00","39832","COSMOS 1823 DEB","DEBRIS","SMALL","1.00"
"62531881","2020-12-09 10:26:00.000000","Y","2020-12-12T09:58:16.716000","64","0.001970673","18123","DMSP 5D-2 F8 (USA 26)","PAYLOAD","LARGE","5.00","45508","METEOR 2-5 DEB","DEBRIS","SMALL","1.00"
