CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"163776216","2021-11-09 00:31:11.000000","Y","2021-11-11T21:19:26.928000","700","0.0002969357","1529","DELTA 1 DEB","DEBRIS","SMALL","5.00","82873","UNKNOWN","UNKNOWN","SMALL","5.00"
"163776553","2021-11-09 00:31:15.000000","Y","2021-11-11T01:37:14.613000","216","0.0002075095","3271","THOR BURNER 2 R/B","ROCKET BODY","LARGE","5.00","41276","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163776646","2021-11-09 00:31:16.000000","Y","2021-11-11T08:12:44.488000","681","0.0002073647","3569","COSMOS 252 DEB","DEBRIS","SMALL","5.00","270216","UNKNOWN","UNKNOWN","SMALL","5.00"
"163777018","2021-11-09 00:31:20.000000","Y","2021-11-11T21:35:18.106000","605","0.0002726979","4432","THORAD AGENA D DEB","DEBRIS","SMALL","5.00","41133","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163777185","2021-11-09 00:31:22.000000","Y","2021-11-10T18:51:05.694000","495","0.0005985106","4751","THORAD AGENA D DEB","DEBRIS","SMALL","5.00","81161","UNKNOWN","UNKNOWN","SMALL","5.00"
"163777327","2021-11-09 00:31:24.000000","Y","2021-11-10T04:12:58.957000","177","0.007566313","4993","THORAD AGENA D DEB","DEBRIS","SMALL","5.00","31924","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163777363","2021-11-09 00:31:24.000000","Y","2021-11-10T19:34:08.224000","444","0.001532704","5063","THORAD AGENA D DEB","DEBRIS","SMALL","5.00","21418","COSMOS 2150","PAYLOAD","LARGE","5.00"
"163777642","2021-11-09 00:31:27.000000","Y","2021-11-10T13:25:50.161000","898","0.0001491663","5556","THOR BURNER 2 R/B","ROCKET BODY","LARGE","5.00","37598","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163777703","2021-11-09 00:31:28.000000","Y","2021-11-11T13:15:52.865000","701","0.0003156186","5745","THOR ABLESTAR DEB","DEBRIS","SMALL","5.00","36911","METEOR 2-5 DEB","DEBRIS","SMALL","5.00"
"163777857","2021-11-09 00:31:30.000000","Y","2021-11-09T08:14:57.426000","181","0.0007762428","6393","SL-3 R/B","ROCKET BODY","LARGE","5.00","89195","UNKNOWN","UNKNOWN","SMALL","5.00"
"163777938","2021-11-09 00:31:31.000000","Y","2021-11-09T18:10:45.022000","110","0.005128991","7161","DELTA 1 DEB","DEBRIS","SMALL","5.00","26838","DELTA 1 DEB","DEBRIS","SMALL","5.00"
"163778180","2021-11-09 00:31:33.000000","Y","2021-11-11T19:25:28.139000","515","0.0001310651","8039","SL-3 DEB","DEBRIS","SMALL","5.00","38808","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163778401","2021-11-09 00:31:36.000000","Y","2021-11-10T05:53:07.634000","977","0.0002690829","8981","DELTA 1 DEB","DEBRIS","SMALL","5.00","38533","METEOR 1-27 DEB","DEBRIS","SMALL","5.00"
"163778468","2021-11-09 00:31:37.000000","Y","2021-11-10T18:38:19.220000","153","0.0004290537","9482","SL-3 R/B","ROCKET BODY","LARGE","5.00","35080","IRIDIUM 33 DEB","DEBRIS","SMALL","5.00"
"163778704","2021-11-09 00:31:39.000000","Y","2021-11-10T22:14:14.716000","89","0.0005207989","10305","DELTA 1 DEB","DEBRIS","SMALL","5.00","36665","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163778717","2021-11-09 00:31:39.000000","Y","2021-11-11T11:24:03.110000","163","0.0001016868","10461","SL-8 R/B","ROCKET BODY","LARGE","5.00","18589","ELEKTRON 1 DEB *","DEBRIS","SMALL","5.00"
"163778775","2021-11-09 00:31:40.000000","Y","2021-11-11T03:08:17.919000","763","0.0001497041","10761","DELTA 1 DEB","DEBRIS","SMALL","5.00","18959","SL-14 R/B","ROCKET BODY","LARGE","5.00"
"163778778","2021-11-09 00:31:40.000000","Y","2021-11-09T20:44:08.093000","557","0.0002876314","10834","DELTA 1 DEB","DEBRIS","SMALL","5.00","13768","COSMOS 1436","PAYLOAD","MEDIUM","5.00"
"163778947","2021-11-09 00:31:42.000000","Y","2021-11-09T18:37:59.677000","146","0.00298943","11962","METEOR 2-6","PAYLOAD","LARGE","5.00","31567","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163779320","2021-11-09 00:31:47.000000","Y","2021-11-10T09:53:02.367000","141","0.005001908","12741","COSMOS 1275 DEB","DEBRIS","SMALL","5.00","20866","CZ-4 DEB","DEBRIS","SMALL","5.00"
"163779444","2021-11-09 00:31:48.000000","Y","2021-11-11T13:59:56.695000","102","0.0003379085","12864","COSMOS 970 DEB","DEBRIS","SMALL","5.00","18418","THORAD AGENA D DEB","DEBRIS","SMALL","5.00"
"163779495","2021-11-09 00:31:48.000000","Y","2021-11-10T18:46:26.702000","49","0.0001206877","13022","COSMOS 1275 DEB","DEBRIS","SMALL","5.00","29524","DMSP 5D-3 F17 DEB","DEBRIS","SMALL","5.00"
"163779734","2021-11-09 00:31:51.000000","Y","2021-11-09T21:03:10.899000","43","0.01074632","13489","COSMOS 1275 DEB","DEBRIS","SMALL","5.00","23180","SL-8 R/B","ROCKET BODY","LARGE","5.00"
"163779839","2021-11-09 00:31:52.000000","Y","2021-11-09T20:44:08.093000","557","0.0002876314","13768","COSMOS 1436","PAYLOAD","MEDIUM","5.00","10834","DELTA 1 DEB","DEBRIS","SMALL","5.00"
"163780207","2021-11-09 00:31:57.000000","Y","2021-11-10T08:08:22.893000","46","0.009632459","14452","METEOR 2-10","PAYLOAD","LARGE","5.00","41228","NOAA 16 DEB","DEBRIS","SMALL","5.00"
"163780338","2021-11-09 00:31:58.000000","Y","2021-11-10T17:31:00.160000","485","0.0007196962","14717","OPS 4682 DEB","DEBRIS","SMALL","5.00","270237","UNKNOWN","UNKNOWN","SMALL","5.00"
"163780343","2021-11-09 00:31:58.000000","Y","2021-11-10T03:52:12.234000","252","0.002448527","14760","SL-8 R/B","ROCKET BODY","LARGE","5.00","41016","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163781556","2021-11-09 00:32:13.000000","Y","2021-11-11T13:59:56.695000","102","0.0003379085","18418","THORAD AGENA D DEB","DEBRIS","SMALL","5.00","12864","COSMOS 970 DEB","DEBRIS","SMALL","5.00"
"163781598","2021-11-09 00:32:14.000000","Y","2021-11-11T05:58:11.741000","425","0.0009870142","18477","COSMOS 1375 DEB","DEBRIS","SMALL","5.00","31427","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163781666","2021-11-09 00:32:14.000000","Y","2021-11-11T11:24:03.110000","163","0.0001016868","18589","ELEKTRON 1 DEB *","DEBRIS","SMALL","5.00","10461","SL-8 R/B","ROCKET BODY","LARGE","5.00"
"163781742","2021-11-09 00:32:15.000000","Y","2021-11-11T03:08:17.919000","763","0.0001497041","18959","SL-14 R/B","ROCKET BODY","LARGE","5.00","10761","DELTA 1 DEB","DEBRIS","SMALL","5.00"
"163782066","2021-11-09 00:32:19.000000","Y","2021-11-11T17:20:33.056000","982","0.00065478","19769","COSMOS 1992","PAYLOAD","LARGE","5.00","89135","UNKNOWN","UNKNOWN","SMALL","5.00"
"163782323","2021-11-09 00:32:22.000000","Y","2021-11-10T09:53:02.367000","141","0.005001908","20866","CZ-4 DEB","DEBRIS","SMALL","5.00","12741","COSMOS 1275 DEB","DEBRIS","SMALL","5.00"
"163782540","2021-11-09 00:32:25.000000","Y","2021-11-10T19:34:08.224000","444","0.001532704","21418","COSMOS 2150","PAYLOAD","LARGE","5.00","5063","THORAD AGENA D DEB","DEBRIS","SMALL","5.00"
"163782563","2021-11-09 00:32:25.000000","Y","2021-11-11T20:39:17.277000","114","0.002023293","21492","DELTA 1 DEB","DEBRIS","SMALL","5.00","30529","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163782613","2021-11-09 00:32:26.000000","Y","2021-11-09T20:01:31.550000","258","0.000327826","21576","ORBCOMM-X","PAYLOAD","MEDIUM","5.00","31265","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163783009","2021-11-09 00:32:30.000000","Y","2021-11-11T21:53:47.814000","769","0.0002079759","22426","SL-16 DEB","DEBRIS","SMALL","5.00","36172","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163783306","2021-11-09 00:32:33.000000","Y","2021-11-10T03:39:09.341000","427","0.0008215059","22645","SL-16 DEB","DEBRIS","SMALL","5.00","36865","METEOR 2-8 DEB","DEBRIS","SMALL","5.00"
"163783344","2021-11-09 00:32:34.000000","Y","2021-11-10T02:37:53.244000","195","0.004118911","22802","COSMOS 2263","PAYLOAD","LARGE","5.00","46994","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163783414","2021-11-09 00:32:34.000000","Y","2021-11-09T21:11:10.656000","612","0.0002601272","23179","NADEZHDA 4","PAYLOAD","LARGE","5.00","270034","UNKNOWN","UNKNOWN","SMALL","5.00"
