"","summary(ghist2[[""data""]][[""bins""]])"
"(550,560]",734
"(780,790]",428
"(850,860]",381
"(840,850]",363
"(820,830]",332
"(790,800]",326
"(860,870]",326
"(830,840]",325
"(980,990]",313
"(770,780]",304
"(800,810]",298
"(870,880]",295
"(810,820]",290
"(880,890]",282
"(750,760]",258
"(760,770]",255
"(890,900]",252
"(990,1e+03]",252
"(740,750]",239
"(710,720]",237
"(730,740]",210
"(720,730]",207
"(630,640]",206
"(910,920]",205
"(900,910]",203
"(930,940]",200
"(690,700]",198
"(490,500]",191
"(920,930]",189
"(500,510]",187
"(700,710]",182
"(970,980]",178
"(580,590]",174
"(620,630]",171
"(600,610]",162
"(480,490]",159
"(680,690]",157
"(640,650]",155
"(510,520]",149
"(670,680]",148
"(940,950]",142
"(1.5e+03,1.51e+03]",139
"(950,960]",138
"(650,660]",130
"(540,550]",129
"(1e+03,1.01e+03]",128
"(960,970]",126
"(520,530]",121
"(530,540]",119
"(380,390]",116
"(590,600]",115
"(660,670]",112
"(1.28e+03,1.29e+03]",112
"(1.41e+03,1.42e+03]",111
"(1.49e+03,1.5e+03]",108
"(1.45e+03,1.46e+03]",106
"(610,620]",102
"(1.44e+03,1.45e+03]",101
"(1.42e+03,1.43e+03]",100
"(570,580]",95
"(1.02e+03,1.03e+03]",95
"(1.01e+03,1.02e+03]",93
"(1.09e+03,1.1e+03]",92
"(1.46e+03,1.47e+03]",91
"(1.05e+03,1.06e+03]",89
"(1.48e+03,1.49e+03]",89
"(1.06e+03,1.07e+03]",87
"(1.04e+03,1.05e+03]",84
"(1.22e+03,1.23e+03]",79
"(1.27e+03,1.28e+03]",75
"(470,480]",74
"(560,570]",74
"(1.51e+03,1.52e+03]",74
"(1.07e+03,1.08e+03]",72
"(450,460]",69
"(1.47e+03,1.48e+03]",69
"(1.03e+03,1.04e+03]",68
"(1.1e+03,1.11e+03]",67
"(440,450]",65
"(1.08e+03,1.09e+03]",65
"(1.18e+03,1.19e+03]",64
"(1.43e+03,1.44e+03]",61
"(1.29e+03,1.3e+03]",59
"(1.13e+03,1.14e+03]",58
"(460,470]",56
"(1.11e+03,1.12e+03]",56
"(1.58e+03,1.59e+03]",56
"(1.12e+03,1.13e+03]",55
"(1.4e+03,1.41e+03]",55
"(1.14e+03,1.15e+03]",53
"(1.55e+03,1.56e+03]",53
"(1.59e+03,1.6e+03]",50
"(1.15e+03,1.16e+03]",48
"(1.19e+03,1.2e+03]",48
"(1.54e+03,1.55e+03]",48
"(1.52e+03,1.53e+03]",47
"(1.2e+03,1.21e+03]",44
"(1.39e+03,1.4e+03]",43
"(1.53e+03,1.54e+03]",43
"(Other)",1312
