ID,x,y,z
ABS-2,7567.80824508,-41489.8263717,-0.0566138682833
ABS-2A (MONGOLSAT-1),7417.04586437,-41501.591279,11.1050393049
ABS-3A,-38970.3509071,-16110.7940714,-15.052211996
ABS-4 (MOBISAT-1),-2612.50942049,-42087.1050871,10.6432104049
ABS-6,42029.0700904,3304.85220545,-19.6644703516
ABS-7,32999.0148911,-26248.3461764,-25.1236591763
AEHF-1 (USA 214),-36725.5223523,-20709.5753795,1269.00579034
AEHF-2 (USA 235),-31312.5112929,28217.2378571,1049.1623477
AEHF-3 (USA 246),42092.9122868,-1794.74939463,659.119423357
AEHF-4 (USA 288),-15336.3264955,39257.6083698,1206.66492291
ALCOMSAT 1,-42169.2250473,-509.315070086,22.3120316993
ALPHASAT,-26931.0031974,-32445.3454381,-732.838750534
AL YAH 3,-41984.7146336,-3948.53562176,-22.0163229408
AMAZONAS 2,-34322.6280977,24476.8325974,9.67663098401
AMAZONAS 3,-34302.6087482,24520.4984298,-25.148848871
AMAZONAS 4A,-27942.8911846,31576.2352207,36.9037979646
AMAZONAS 5,-34329.6267717,24496.8503058,-14.9399342718
AMC-11 (GE-11),11295.3238652,40613.2893035,13.1344845193
AMC-14,-30362.3752821,-29429.8162411,2418.72077563
AMC-15,-7631.528625,41460.0756106,13.06967111
AMC-16,-21377.5449081,36342.5268845,0.55191484384
AMC-18,16851.7296817,38637.6400579,8.04332839716
AMC-1 (GE-1),11212.7183396,40634.933466,-262.88774577
AMC-21,6912.63356803,41585.2291599,10.6278677091
AMC-2 (GE-2),-21356.4636204,36181.1175995,3482.72828332
AMC-3 (GE-3),-28999.8736718,30592.8611849,949.643799954
AMC-4 (GE-4),14036.803829,39750.2547035,-0.254515092671
AMC-6 (GE-6),-22643.9057876,35559.9576278,12.6831040224
AMC-7 (GE-7),14092.3141821,39725.6134317,-110.072812824
AMC-8 (GE-8),16822.976877,38661.9540138,-0.130057454823
AMOS-3,-39278.3234514,-15346.9710497,11.5987267482
AMOS-4,323.526230741,-42170.7478638,13.1739896264
AMSC 1,-6235.50341518,41052.1240867,7175.51507922
ANIK F1,-5977.31439199,41731.4453712,-17.5087773869
ANIK F1R,-5995.82790711,41730.1889573,5.56023777461
ANIK F2,-3214.98773882,42041.1059153,-5.54965182082
ANIK F3,2395.26835053,42092.884074,-3.36792081788
ANIK G1,-5989.11627278,41736.4078095,-7.5369695529
APSTAR 5 (TELSTAR 18),40410.8472871,-12031.3152616,-291.054675118
APSTAR 6,39417.7097942,-14959.8092366,-462.253267999
APSTAR 6C,39489.9092825,-14753.5422343,-8.83022638093
APSTAR 7,8706.98957851,-41260.8914082,17.5590779305
APSTAR 9,41150.0454787,-9172.43855639,0.373777328676
ARABSAT-5A,-23625.5993336,-34943.0584628,-15.2723152036
ARABSAT-5C,-29590.6729442,-30053.9034559,-33.1240466781
ARSAT 1,-29114.217657,30496.9041406,-20.8718711299
ARSAT 2,-23865.0359818,34757.4884615,-18.3968101079
ASIASAT 3S,41590.0853575,-6245.27605922,-2842.05282483
ASIASAT 4,-18702.8408135,-37787.0373822,27.5417961372
ASIASAT 5,24751.8832276,-34132.4742833,2.21736862196
ASIASAT 6,34686.0776654,-23970.4712077,17.9824751787
ASIASAT 7,27614.6777207,-31859.2477762,17.2895159785
ASIASAT 8,-39215.903142,-15513.1255407,19.8732055214
ASIASAT 9,35565.9503669,-22640.2950544,3.51756216914
ASIASTAR,27280.2338419,-32105.2393866,-1762.81448101
ASTRA 1D,-28159.6338018,30754.8923029,6247.7122678
ASTRA 1F,-14618.7070293,-39566.7369866,-5.75979146919
ASTRA 1G,-5442.18004356,-41821.2976396,-340.062537913
ASTRA 1H,-31353.6919051,27966.3845695,3582.64472673
ASTRA 1KR,-30019.8224501,-29611.2835731,-32.4290977501
ASTRA 1L,-30033.8483688,-29606.6071332,-50.2010739912
ASTRA 1M,-29994.6906452,-29652.0297134,-8.99073803542
ASTRA 1N,-30022.7736142,-29639.8573652,-33.0660531523
ASTRA 2A,24433.5826423,-34360.1990857,-211.276587903
ASTRA 2B,-29880.4066846,-29749.0185156,1377.07532352
ASTRA 2C,-27557.6397026,-31914.6041504,868.875912991
ASTRA 2D,-36192.8894815,-21543.1771029,2145.80569514
ASTRA 2E,-24841.6547452,-34080.6138432,-1.39333192991
ASTRA 2F,-24962.8456707,-33976.057658,-1.56460653159
ASTRA 2G,-25012.1659044,-33969.634106,2.72349602419
ASTRA 3A,-39074.4874338,15406.2629818,3739.75586502
ASTRA 3B,-27688.0721235,-31813.3984406,-26.3750849252
ASTRA 4A (SIRIUS 4),-36433.6048362,-21248.3206808,-5.2864508927
ASTRA 5B,-23013.0370478,-35347.8136922,-12.6482361266
ATHENA-FIDUS,-18965.029108,-37665.0580205,-6.1574514145
AZERSPACE 1,-13420.0429359,-39983.3812684,4.27393465584
AZERSPACE 2 (IS-38),-14051.0844174,-39761.0412604,6.02383000739
BADR-4,-26314.780806,-32963.9102033,-34.9735898826
BADR-5,-26221.1886851,-33028.3782908,12.721211609
BADR-6,-26302.3771607,-32986.1628491,-11.644253186
BADR-7 (ARABSAT-6B),-26284.14061,-32958.2374777,-13.5992238683
BANGABANDHUSAT-1,34332.1727416,-24474.5164529,22.4987414233
BD-17,25958.5851891,-30197.6120264,-14275.7100292
BD-20,18801.5934617,-37182.4291121,7634.2877563
BD-2-G7,30273.3966841,-29342.1631086,-587.849403831
BEIDOU 10,22236.99325,-36054.6639483,-1086.57821843
BEIDOU 11,-4257.22966842,-41955.9032833,-386.648773165
BEIDOU 16,14008.8918823,-39745.7534809,-566.436521804
BEIDOU 3,40787.1487075,-10728.2473915,-135.322242912
BEIDOU-3 G1,41456.2090413,-7424.22960161,1960.73748958
BEIDOU 4,10898.867725,-40731.1752073,-1078.5168218
BEIDOU 6,41972.9517564,4010.90035455,-296.076676411
BEIDOU 8,16583.6172516,-15560.6114505,-35385.8981246
BEIDOU 9,17571.0547107,-20598.1727442,32453.38863
BEIDOU IGSO-6,7224.64378159,-29721.3068242,-28866.0255342
BEIDOU IGSO-7,28980.8725312,-15437.2674767,26373.1373249
BELINTERSAT-1,-9524.27894884,-41082.0973161,25.3721567292
BRASILSAT B4,-16785.7916604,38650.9586443,1205.32831898
BRISAT,42051.4098026,-2992.97151103,23.1234323363
BSAT-3A,29963.6249351,-29667.5650211,33.9217963909
BSAT-3B,29945.4479469,-29673.4935912,1.84071782867
BSAT-3C (JCSAT-110R),30033.2457771,-29598.2977333,21.0865193936
BSAT-4A,29934.2654268,-29699.1576896,-39.1501841736
